,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,P/A
66475,Haryana,FARIDABAD,2011,Kharif     ,Bajra,3925.0,6000.0,1.5286624203821657
66477,Haryana,FARIDABAD,2011,Kharif     ,Jowar,864.0,1000.0,1.1574074074074074
66480,Haryana,FARIDABAD,2011,Kharif     ,Rice,11554.0,28000.0,2.4234031504240954
66484,Haryana,FARIDABAD,2011,Rabi       ,Rapeseed &Mustard,746.0,2000.0,2.680965147453083
66485,Haryana,FARIDABAD,2011,Rabi       ,Wheat,30475.0,150000.0,4.9220672682526665
66487,Haryana,FARIDABAD,2012,Kharif     ,Arhar/Tur,174.0,201.0,1.1551724137931034
66488,Haryana,FARIDABAD,2012,Kharif     ,Bajra,3477.0,5000.0,1.438021282714984
66490,Haryana,FARIDABAD,2012,Kharif     ,Jowar,616.0,500.0,0.8116883116883117
66491,Haryana,FARIDABAD,2012,Kharif     ,Rice,10709.0,25000.0,2.334485012606219
66492,Haryana,FARIDABAD,2012,Kharif     ,Sesamum,49.0,19.0,0.3877551020408163
66496,Haryana,FARIDABAD,2012,Rabi       ,Rapeseed &Mustard,590.0,1000.0,1.694915254237288
66497,Haryana,FARIDABAD,2012,Rabi       ,Wheat,31055.0,141000.0,4.540331669618419
66499,Haryana,FATEHABAD,1997,Kharif     ,Bajra,11000.0,17000.0,1.5454545454545454
66501,Haryana,FATEHABAD,1997,Kharif     ,Rice,52000.0,184000.0,3.5384615384615383
66502,Haryana,FATEHABAD,1997,Rabi       ,Barley,7000.0,15000.0,2.142857142857143
66503,Haryana,FATEHABAD,1997,Rabi       ,Gram,13000.0,11000.0,0.8461538461538461
66504,Haryana,FATEHABAD,1997,Rabi       ,Wheat,161000.0,625000.0,3.8819875776397517
66505,Haryana,FATEHABAD,1997,Whole Year ,Cotton(lint),108000.0,194000.0,1.7962962962962963
66507,Haryana,FATEHABAD,1998,Kharif     ,Arhar/Tur,66.0,100.0,1.5151515151515151
66508,Haryana,FATEHABAD,1998,Kharif     ,Bajra,12800.0,19000.0,1.484375
66509,Haryana,FATEHABAD,1998,Kharif     ,Cotton(lint),102017.0,162000.0,1.5879706323455896
66512,Haryana,FATEHABAD,1998,Kharif     ,Moong(Green Gram),1911.0,700.0,0.3663003663003663
66514,Haryana,FATEHABAD,1998,Kharif     ,Rice,70105.0,208000.0,2.966978104272163
66515,Haryana,FATEHABAD,1998,Kharif     ,Sesamum,182.0,100.0,0.5494505494505495
66516,Haryana,FATEHABAD,1998,Rabi       ,Barley,4025.0,12000.0,2.981366459627329
66517,Haryana,FATEHABAD,1998,Rabi       ,Gram,14070.0,14000.0,0.9950248756218906
66518,Haryana,FATEHABAD,1998,Rabi       ,Masoor,30.0,100.0,3.3333333333333335
66519,Haryana,FATEHABAD,1998,Rabi       ,Rapeseed &Mustard,23011.0,24000.0,1.0429794446134457
66521,Haryana,FATEHABAD,1998,Rabi       ,Wheat,164506.0,683000.0,4.151824249571444
66522,Haryana,FATEHABAD,1998,Whole Year ,Dry chillies,88.0,100.0,1.1363636363636365
66526,Haryana,FATEHABAD,1999,Kharif     ,Bajra,11814.0,15000.0,1.2696800406297613
66527,Haryana,FATEHABAD,1999,Kharif     ,Cotton(lint),95677.0,243000.0,2.539795353115169
66530,Haryana,FATEHABAD,1999,Kharif     ,Moong(Green Gram),1059.0,300.0,0.28328611898017
66531,Haryana,FATEHABAD,1999,Kharif     ,Rice,69238.0,164000.0,2.3686414974436003
66533,Haryana,FATEHABAD,1999,Kharif     ,Urad,28.0,100.0,3.5714285714285716
66534,Haryana,FATEHABAD,1999,Rabi       ,Barley,4237.0,12000.0,2.8321925890960586
66535,Haryana,FATEHABAD,1999,Rabi       ,Gram,3759.0,4000.0,1.0641127959563714
66538,Haryana,FATEHABAD,1999,Rabi       ,Rapeseed &Mustard,13906.0,21000.0,1.5101395081259887
66540,Haryana,FATEHABAD,1999,Rabi       ,Wheat,166991.0,745000.0,4.461318274637556
66541,Haryana,FATEHABAD,1999,Whole Year ,Dry chillies,125.0,100.0,0.8
66546,Haryana,FATEHABAD,2000,Kharif     ,Bajra,10273.0,14000.0,1.3627956779908499
66547,Haryana,FATEHABAD,2000,Kharif     ,Cotton(lint),107704.0,289000.0,2.683280101017604
66550,Haryana,FATEHABAD,2000,Kharif     ,Moong(Green Gram),699.0,200.0,0.2861230329041488
66552,Haryana,FATEHABAD,2000,Kharif     ,Rice,61308.0,199000.0,3.2459059176616427
66553,Haryana,FATEHABAD,2000,Kharif     ,Sesamum,196.0,100.0,0.5102040816326531
66555,Haryana,FATEHABAD,2000,Rabi       ,Barley,4777.0,16000.0,3.3493824576093782
66556,Haryana,FATEHABAD,2000,Rabi       ,Gram,1685.0,2000.0,1.1869436201780414
66558,Haryana,FATEHABAD,2000,Rabi       ,Peas & beans (Pulses),54.0,100.0,1.8518518518518519
66559,Haryana,FATEHABAD,2000,Rabi       ,Rapeseed &Mustard,11838.0,18000.0,1.5205271160669032
66560,Haryana,FATEHABAD,2000,Rabi       ,Wheat,173546.0,757000.0,4.361955907943715
66561,Haryana,FATEHABAD,2000,Whole Year ,Dry chillies,162.0,200.0,1.2345679012345678
66566,Haryana,FATEHABAD,2001,Kharif     ,Bajra,10101.0,15000.0,1.485001485001485
66567,Haryana,FATEHABAD,2001,Kharif     ,Cotton(lint),114880.0,136000.0,1.1838440111420614
